"customer_id","first_name","address_id","email","rental_id"
374,"Jeremy",379,"jeremy.hurtado@sakilacustomer.org",15966
168,"Regina",172,"regina.berry@sakilacustomer.org",15894
41,"Stephanie",45,"stephanie.mitchell@sakilacustomer.org",15875
505,"Rafael",510,"rafael.abney@sakilacustomer.org",15867
215,"Jessie",219,"jessie.banks@sakilacustomer.org",15862
9,"Margaret",13,"margaret.moore@sakilacustomer.org",15813
579,"Daryl",585,"daryl.larue@sakilacustomer.org",15794
120,"Sylvia",124,"sylvia.ortiz@sakilacustomer.org",15780
234,"Claudia",238,"claudia.fuller@sakilacustomer.org",15778
43,"Christine",47,"christine.roberts@sakilacustomer.org",15745
295,"Daisy",300,"daisy.bates@sakilacustomer.org",15735
193,"Katie",197,"katie.elliott@sakilacustomer.org",15729
208,"Lucy",212,"lucy.wheeler@sakilacustomer.org",15717
56,"Gloria",60,"gloria.cook@sakilacustomer.org",15714
421,"Lee",426,"lee.hawks@sakilacustomer.org",15710
300,"John",305,"john.farnsworth@sakilacustomer.org",15695
359,"Willie",364,"willie.markham@sakilacustomer.org",15655
214,"Kristin",218,"kristin.johnston@sakilacustomer.org",15645
43,"Christine",47,"christine.roberts@sakilacustomer.org",15644
29,"Angela",33,"angela.hernandez@sakilacustomer.org",15577
111,"Carmen",115,"carmen.owens@sakilacustomer.org",15542
23,"Sarah",27,"sarah.lewis@sakilacustomer.org",15532
107,"Florence",111,"florence.woods@sakilacustomer.org",15497
590,"Seth",596,"seth.hannon@sakilacustomer.org",15458
142,"April",146,"april.burns@sakilacustomer.org",15454
422,"Melvin",427,"melvin.ellington@sakilacustomer.org",15441
282,"Jenny",287,"jenny.castro@sakilacustomer.org",15430
596,"Enrique",602,"enrique.forsythe@sakilacustomer.org",15423
42,"Carolyn",46,"carolyn.perez@sakilacustomer.org",15407
94,"Norma",98,"norma.gonzales@sakilacustomer.org",15371
58,"Jean",62,"jean.bell@sakilacustomer.org",15326
412,"Allen",417,"allen.butterfield@sakilacustomer.org",15314
327,"Larry",332,"larry.thrasher@sakilacustomer.org",15297
108,"Tracy",112,"tracy.cole@sakilacustomer.org",15294
263,"Hilda",268,"hilda.hopkins@sakilacustomer.org",15293
163,"Cathy",167,"cathy.spencer@sakilacustomer.org",15282
228,"Allison",232,"allison.stanley@sakilacustomer.org",15234
75,"Tammy",79,"tammy.sanders@sakilacustomer.org",15191
190,"Yolanda",194,"yolanda.weaver@sakilacustomer.org",15167
424,"Kyle",429,"kyle.spurlock@sakilacustomer.org",15094
100,"Robin",104,"robin.hayes@sakilacustomer.org",15021
525,"Adrian",531,"adrian.clary@sakilacustomer.org",14954
21,"Michelle",25,"michelle.clark@sakilacustomer.org",14933
472,"Greg",477,"greg.robins@sakilacustomer.org",14928
349,"Joe",354,"joe.gilliland@sakilacustomer.org",14915
441,"Mario",446,"mario.cheatham@sakilacustomer.org",14878
361,"Lawrence",366,"lawrence.lawton@sakilacustomer.org",14769
355,"Terry",360,"terry.grissom@sakilacustomer.org",14760
60,"Mildred",64,"mildred.bailey@sakilacustomer.org",14741
448,"Miguel",453,"miguel.betancourt@sakilacustomer.org",14734
532,"Neil",538,"neil.renner@sakilacustomer.org",14616
592,"Terrance",598,"terrance.roush@sakilacustomer.org",14606
585,"Perry",591,"perry.swafford@sakilacustomer.org",14604
568,"Alberto",574,"alberto.henning@sakilacustomer.org",14531
534,"Christian",540,"christian.jung@sakilacustomer.org",14526
457,"Bill",462,"bill.gavin@sakilacustomer.org",14516
188,"Melanie",192,"melanie.armstrong@sakilacustomer.org",14503
75,"Tammy",79,"tammy.sanders@sakilacustomer.org",14488
315,"Kenneth",320,"kenneth.gooden@sakilacustomer.org",14426
560,"Jordan",566,"jordan.archuleta@sakilacustomer.org",14425
561,"Ian",567,"ian.still@sakilacustomer.org",14415
213,"Gina",217,"gina.williamson@sakilacustomer.org",14374
191,"Jeanette",195,"jeanette.greene@sakilacustomer.org",14361
508,"Milton",513,"milton.howland@sakilacustomer.org",14318
557,"Felix",563,"felix.gaffney@sakilacustomer.org",14278
527,"Cory",533,"cory.meehan@sakilacustomer.org",14267
264,"Gwendolyn",269,"gwendolyn.may@sakilacustomer.org",14243
162,"Lauren",166,"lauren.hudson@sakilacustomer.org",14220
334,"Raymond",339,"raymond.mcwhorter@sakilacustomer.org",14219
186,"Holly",190,"holly.fox@sakilacustomer.org",14216
287,"Becky",292,"becky.miles@sakilacustomer.org",14204
452,"Tom",457,"tom.milner@sakilacustomer.org",14175
450,"Jay",455,"jay.robb@sakilacustomer.org",14172
493,"Brent",498,"brent.harkins@sakilacustomer.org",14160
53,"Heather",57,"heather.morris@sakilacustomer.org",14137
251,"Vickie",255,"vickie.brewer@sakilacustomer.org",14107
554,"Dwayne",560,"dwayne.olvera@sakilacustomer.org",14098
175,"Annette",179,"annette.olson@sakilacustomer.org",14060
533,"Jessie",539,"jessie.milam@sakilacustomer.org",14018
15,"Helen",19,"helen.harris@sakilacustomer.org",13968
324,"Gary",329,"gary.coy@sakilacustomer.org",13965
199,"Beth",203,"beth.franklin@sakilacustomer.org",13952
476,"Derrick",481,"derrick.bourque@sakilacustomer.org",13941
369,"Fred",374,"fred.wheat@sakilacustomer.org",13898
15,"Helen",19,"helen.harris@sakilacustomer.org",13798
14,"Betty",18,"betty.white@sakilacustomer.org",13780
252,"Mattie",256,"mattie.hoffman@sakilacustomer.org",13756
495,"Charlie",500,"charlie.bess@sakilacustomer.org",13753
208,"Lucy",212,"lucy.wheeler@sakilacustomer.org",13719
267,"Margie",272,"margie.wade@sakilacustomer.org",13713
431,"Joel",436,"joel.francisco@sakilacustomer.org",13587
